y__abs_energy,y__quantile__q_0.9,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__sum_values,y__minimum,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__median,y__range_count__max_1__min_-1,y
128.8225,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,11.35,4.4024330432638665,2.2012165216319333,6.96085783155021,3.11299025861161,11.35,0.0,10.78
116.20839999999998,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,4.181341692192467,2.0906708460962333,6.611281711375441,2.956655065007326,10.78,0.0,12.65
160.0225,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,12.65,4.9066764755319765,2.4533382377659883,7.7581367021242436,3.4695442089371684,12.65,0.0,13.04
170.0416,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,13.04,5.057949505212407,2.5289747526062034,7.997320363296452,3.576510394034836,13.04,0.0,13.53
183.0609,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,13.53,5.248010491221156,2.624005245610578,8.297833168358972,3.710903806080624,13.53,0.0,12.85
165.1225,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,12.85,4.984252388188606,2.492126194094304,7.880794989904864,3.5243986628334083,12.85,0.0,12.87
165.63689999999997,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,4.992009979454269,2.4960049897271346,7.893060818682924,3.5298841082230323,12.87,0.0,12.02
144.4804,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,12.02,4.6623123506635835,2.3311561753317918,7.3717630956152895,3.296752679164013,12.02,0.0,12.45
155.00249999999997,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,4.829100562875343,2.414550281437672,7.6354784143436225,3.4146897550409285,12.45,0.0,13.06
170.5636,13.06,13.06,13.06,13.06,13.06,13.06,13.06,13.06,13.06,13.06,13.06,13.06,13.06,13.06,5.0657070964780715,2.5328535482390357,8.009586192074515,3.5819958394244598,13.06,0.0,13.32
177.4224,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,13.32,5.1665557829316935,2.5832778914658463,8.169041966189322,3.653306629489572,13.32,0.0,12.54
157.25159999999997,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,12.54,4.864009723570828,2.4320048617854138,7.690674643844901,3.439374259294236,12.54,0.0,12.63
159.51690000000005,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,12.63,4.898918884266312,2.449459442133156,7.745870873346182,3.4640587635475453,12.63,0.0,11.7
136.89,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,11.7,4.538190890412973,2.2690954452064864,7.175509835166296,3.208985552930029,11.7,0.0,13.64
186.04960000000003,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,13.64,5.290677243182304,2.645338621591152,8.365295226638317,3.7410737557235563,13.64,0.0,12.87
165.63689999999997,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,12.87,4.992009979454269,2.4960049897271346,7.893060818682924,3.5298841082230323,12.87,0.0,13.58
184.4164,13.58,13.58,13.58,13.58,13.58,13.58,13.58,13.58,13.58,13.58,13.58,13.58,13.58,13.58,5.267404469385314,2.633702234692657,8.328497740304128,3.724617419554684,13.58,0.0,14.32
205.0624,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,14.32,5.554435346214854,2.7772176731074265,8.782333405092425,3.9275788989707716,14.32,0.0,14.31
204.7761,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,14.31,5.550556550582021,2.7752782752910106,8.776200490703394,3.924836176275959,14.31,0.0,13.93
194.0449,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,13.93,5.40316231653442,2.70158115826721,8.543149743920214,3.820612713873104,13.93,0.0,14.47
209.38090000000003,14.47,14.47,14.47,14.47,14.47,14.47,14.47,14.47,14.47,14.47,14.47,14.47,14.47,14.47,5.612617280707327,2.8063086403536635,8.874327120927891,3.968719739392951,14.47,0.0,12.67
160.5289,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,12.67,4.914434066797639,2.4572170333988197,7.770402530902305,3.4750296543267924,12.67,0.0,16.14
260.49960000000004,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,16.14,6.260376151390204,3.130188075695102,9.89852382389607,4.426754429426554,16.14,0.0,15.29
233.7841,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,15.29,5.930678522599517,2.9653392612997584,9.377226100828432,4.193623000367533,15.29,0.0,16.02
256.6404,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,16.02,6.213830603796223,3.1069153018981117,9.824928851227698,4.3938417570888095,16.02,0.0,15.63
244.2969,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,15.63,6.062557574115792,3.031278787057896,9.585745190055489,4.286875571991142,15.63,0.0,13.63
185.7769,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,5.286798447549472,2.643399223774736,8.359162312249284,3.738331033028744,13.63,0.0,13.39
179.2921,13.39,13.39,13.39,13.39,13.39,13.39,13.39,13.39,13.39,13.39,13.39,13.39,13.39,13.39,5.193707352361513,2.5968536761807566,8.211972366912539,3.6725056883532567,13.39,0.0,13.56
183.8736,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,5.259646878119651,2.6298234390598254,8.316231911526067,3.71913197416506,13.56,0.0,13.55
183.6025,13.55,13.55,13.55,13.55,13.55,13.55,13.55,13.55,13.55,13.55,13.55,13.55,13.55,13.55,5.25576808248682,2.62788404124341,8.310098997137036,3.716389251470248,13.55,0.0,13.56
183.8736,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.56,5.259646878119651,2.6298234390598254,8.316231911526067,3.71913197416506,13.56,0.0,15.23
231.9529,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,5.907405748802527,2.9537028744012637,9.340428614494249,4.177166664198662,15.23,0.0,11.23
126.1129,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,11.23,4.355887495669888,2.177943747834944,6.887262858881838,3.080077586273866,11.23,0.0,9.73
