y__abs_energy,y__quantile__q_0.8,y__quantile__q_0.7,y__quantile__q_0.6,y__quantile__q_0.4,y__quantile__q_0.3,y__quantile__q_0.2,y__quantile__q_0.1,y__minimum,y__median,y__mean,y__maximum,"y__fft_coefficient__coeff_0__attr_""real""","y__fft_coefficient__coeff_0__attr_""abs""","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_5","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_20","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_2","y__cwt_coefficients__widths_(2, 5, 10, 20)__coeff_0__w_10",y__quantile__q_0.9,y__sum_values,y
5067.503544960001,71.1864,71.1864,71.1864,71.1864,71.1864,71.1864,71.1864,71.1864,71.1864,71.1864,71.1864,71.1864,71.1864,27.61174974370035,13.805874871850175,43.658009686331795,19.524455484196434,71.1864,71.1864,70.175
4924.5306249999985,70.175,70.175,70.175,70.175,70.175,70.175,70.175,70.175,70.175,70.175,70.175,70.175,70.175,27.219448353395762,13.609724176697881,43.03772672502521,19.247056510843144,70.175,70.175,99.2212
9844.84652944,99.2212,99.2212,99.2212,99.2212,99.2212,99.2212,99.2212,99.2212,99.2212,99.2212,99.2212,99.2212,99.2212,38.485875724431075,19.242937862215538,60.85151251769248,27.21362370464795,99.2212,99.2212,101.1201
10225.27462401,101.1201,101.1201,101.1201,101.1201,101.1201,101.1201,101.1201,101.1201,101.1201,101.1201,101.1201,101.1201,101.1201,39.22242022714948,19.61121011357474,62.01609163102558,27.734439317165798,101.1201,101.1201,86.89299999999999
7550.393448999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,86.89299999999999,33.70401889236363,16.852009446181814,53.29073300060726,23.832340312029828,86.89299999999999,86.89299999999999,67.0117
4490.567936890001,67.0117,67.0117,67.0117,67.0117,67.0117,67.0117,67.0117,67.0117,67.0117,67.0117,67.0117,67.0117,67.0117,25.99246893086214,12.99623446543107,41.09770191634302,18.379451040793267,67.0117,67.0117,52.6964
2776.91057296,52.6964,52.6964,52.6964,52.6964,52.6964,52.6964,52.6964,52.6964,52.6964,52.6964,52.6964,52.6964,52.6964,20.439856618594717,10.219928309297359,32.318250981013435,14.45316122148906,52.6964,52.6964,50.6689
2567.33742721,50.6689,50.6689,50.6689,50.6689,50.6689,50.6689,50.6689,50.6689,50.6689,50.6689,50.6689,50.6689,50.6689,19.65343080403811,9.826715402019056,31.0748025886374,13.897074195115929,50.6689,50.6689,59.7613
3571.41297769,59.7613,59.7613,59.7613,59.7613,59.7613,59.7613,59.7613,59.7613,59.7613,59.7613,59.7613,59.7613,59.7613,23.180186945233913,11.590093472616957,36.65109366771996,16.390867378146783,59.7613,59.7613,60.8277
3700.00908729,60.8277,60.8277,60.8277,60.8277,60.8277,60.8277,60.8277,60.8277,60.8277,60.8277,60.8277,60.8277,60.8277,23.59382171151908,11.796910855759537,37.30510765816623,16.683351326321535,60.8277,60.8277,63.3629
4014.85709641,63.3629,63.3629,63.3629,63.3629,63.3629,63.3629,63.3629,63.3629,63.3629,63.3629,63.3629,63.3629,63.3629,24.577173980354548,12.288586990177274,38.85992411407338,17.37868638391027,63.3629,63.3629,62.3089
3882.39901921,62.3089,62.3089,62.3089,62.3089,62.3089,62.3089,62.3089,62.3089,62.3089,62.3089,62.3089,62.3089,62.3089,24.168348920654093,12.084174460327047,38.213514937469505,17.089603411877086,62.3089,62.3089,66.9021
4475.890984410001,66.9021,66.9021,66.9021,66.9021,66.9021,66.9021,66.9021,66.9021,66.9021,66.9021,66.9021,66.9021,66.9021,25.949957330726303,12.974978665363151,41.030485174639246,18.349390800058128,66.9021,66.9021,66.32
4398.3424,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,66.32,25.724172636939173,12.862086318469586,40.673488228053735,18.189736911993126,66.32,66.32,96.3411
9281.60754921,96.3411,96.3411,96.3411,96.3411,96.3411,96.3411,96.3411,96.3411,96.3411,96.3411,96.3411,96.3411,96.3411,37.368743794219256,18.684371897109628,59.085171844507656,26.42369214131515,96.3411,96.3411,105.6285
11157.38001225,105.6285,105.6285,105.6285,105.6285,105.6285,105.6285,105.6285,105.6285,105.6285,105.6285,105.6285,105.6285,105.6285,40.97113645025528,20.48556822512764,64.78105475417634,28.97096841689484,105.6285,105.6285,102.1819
10441.14068761,102.1819,102.1819,102.1819,102.1819,102.1819,102.1819,102.1819,102.1819,102.1819,102.1819,102.1819,102.1819,102.1819,39.63427074744354,19.81713537372177,62.6672844808529,28.025661612900933,102.1819,102.1819,87.9578
7736.5745808400015,87.9578,87.9578,87.9578,87.9578,87.9578,87.9578,87.9578,87.9578,87.9578,87.9578,87.9578,87.9578,87.9578,34.11703305134753,17.058516525673767,53.943765724751294,24.12438542457341,87.9578,87.9578,75.1878
5653.205268839999,75.1878,75.1878,75.1878,75.1878,75.1878,75.1878,75.1878,75.1878,75.1878,75.1878,75.1878,75.1878,75.1878,29.163811028221588,14.581905514110794,46.11203404995866,20.621928543298505,75.1878,75.1878,62.0101
3845.25250201,62.0101,62.0101,62.0101,62.0101,62.0101,62.0101,62.0101,62.0101,62.0101,62.0101,62.0101,62.0101,62.0101,24.052450507145085,12.026225253572544,38.03026345552526,17.007650857756104,62.0101,62.0101,64.4758
4157.128785640001,64.4758,64.4758,64.4758,64.4758,64.4758,64.4758,64.4758,64.4758,64.4758,64.4758,64.4758,64.4758,64.4758,25.008845146332373,12.504422573166186,39.54245615642864,17.6839239926159,64.4758,64.4758,70.5454
4976.65346116,70.5454,70.5454,70.5454,70.5454,70.5454,70.5454,70.5454,70.5454,70.5454,70.5454,70.5454,70.5454,70.5454,27.363118943635847,13.681559471817923,43.2648898739949,19.348646959458986,70.5454,70.5454,68.2086
